subj_id,model,promptstyle,nperms,alph,prob_type,prob_ind,response_string
gpt_3,3,human-like,np_1,alph_0,succ,0,
gpt_3,3,human-like,np_1,alph_0,succ,1,
gpt_3,3,human-like,np_1,alph_0,succ,2,
gpt_3,3,human-like,np_1,alph_0,succ,3,
gpt_3,3,human-like,np_1,alph_0,succ,4,
gpt_3,3,human-like,np_1,alph_0,succ,5,
gpt_3,3,human-like,np_1,alph_0,succ,6,
gpt_3,3,human-like,np_1,alph_0,succ,7,
gpt_3,3,human-like,np_1,alph_0,succ,8,
gpt_3,3,human-like,np_1,alph_0,succ,9,
gpt_3,3,human-like,np_1,alph_0,pred,0,
gpt_3,3,human-like,np_1,alph_0,pred,1,
gpt_3,3,human-like,np_1,alph_0,pred,2,
gpt_3,3,human-like,np_1,alph_0,pred,3,
gpt_3,3,human-like,np_1,alph_0,pred,4,
gpt_3,3,human-like,np_1,alph_0,pred,5,
gpt_3,3,human-like,np_1,alph_0,pred,6,
gpt_3,3,human-like,np_1,alph_0,pred,7,
gpt_3,3,human-like,np_1,alph_0,pred,8,
gpt_3,3,human-like,np_1,alph_0,pred,9,
gpt_3,3,human-like,np_1,alph_0,add_letter,0,
gpt_3,3,human-like,np_1,alph_0,add_letter,1,
gpt_3,3,human-like,np_1,alph_0,add_letter,2,
gpt_3,3,human-like,np_1,alph_0,add_letter,3,
gpt_3,3,human-like,np_1,alph_0,add_letter,4,
gpt_3,3,human-like,np_1,alph_0,add_letter,5,
gpt_3,3,human-like,np_1,alph_0,add_letter,6,
gpt_3,3,human-like,np_1,alph_0,add_letter,7,
gpt_3,3,human-like,np_1,alph_0,add_letter,8,
gpt_3,3,human-like,np_1,alph_0,add_letter,9,
gpt_3,3,human-like,np_1,alph_0,remove_redundant,0,
gpt_3,3,human-like,np_1,alph_0,remove_redundant,1,
gpt_3,3,human-like,np_1,alph_0,remove_redundant,2,
gpt_3,3,human-like,np_1,alph_0,remove_redundant,3,
gpt_3,3,human-like,np_1,alph_0,remove_redundant,4,
gpt_3,3,human-like,np_1,alph_0,remove_redundant,5,
gpt_3,3,human-like,np_1,alph_0,remove_redundant,6,
